state,minimum wage,living wage,diff
AK,11.73,23.26,11.53
AL,7.25,20.15,12.90
AR,11.00,19.1,8.10
AZ,14.35,23.4,9.05
CA,16.00,27.32,11.32
CO,14.42,24.83,10.41
CT,15.69,24.13,8.44
DC,17.50,23.9,6.40
DE,13.25,22.63,9.38
FL,13.00,22.43,9.43
GA,7.25,23.29,16.04
HI,14.00,27.33,13.33
IA,7.25,20.04,12.79
ID,7.25,21.33,14.08
IL,14.00,22.86,8.86
IN,7.25,20.44,13.19
KS,7.25,20.35,13.10
KY,7.25,19.4,12.15
LA,7.25,19.82,12.57
ME,14.15,22.04,7.89
MD,15.00,24.74,9.74
MA,15.00,27.89,12.89
MI,10.33,20.28,9.95
MN,10.85,21.45,10.60
MS,7.25,19.89,12.64
MT,10.30,20.37,10.07
MO,12.30,20.2,7.90
NE,12.00,20.12,8.12
NV,12.00,22.46,10.46
NH,7.25,23.58,16.33
NJ,15.13,24.76,9.63
NM,12.00,20.1,8.10
NY,15.00,26.86,11.86
NC,7.25,21.56,14.31
ND,7.25,19.36,12.11
OH,10.45,19.4,8.95
OK,7.25,19.33,12.08
OR,14.70,24.3,9.60
PA,7.25,21.95,14.70
RI,14.00,24.24,10.24
SC,7.25,21.23,13.98
SD,11.20,19.58,8.38
TN,7.25,20.77,13.52
TX,7.25,20.92,13.67
UT,7.25,22.52,15.27
VT,13.67,23.02,9.35
VA,12.00,24.03,12.03
WA,16.28,25.6,9.32
WI,7.25,20.22,12.97
WV,8.75,18.94,10.19
WY,7.25,21.07,13.82