state,governor,party
Alabama,Kay Ivey,Republican
Alaska ,Mike Dunleavy,Republican
Arizona,Katie Hobbs,Democratic
Arkansas,Sarah Huckabee Sanders,Republican
California,Gavin Newsom,Democratic
Colorado,Jared Polis,Democratic
Connecticut ,Ned Lamont,Democratic
Delaware ,John Carney,Democratic
Florida ,Ron DeSantis,Republican
Georgia ,Brian Kemp,Republican
Hawaii ,Josh Green,Democratic
Idaho ,Brad Little,Republican
Illinois ,J. B. Pritzker,Democratic
Indiana ,Eric Holcomb,Republican
Iowa ,Kim Reynolds,Republican
Kansas ,Laura Kelly,Democratic
Kentucky ,Andy Beshear,Democratic
Louisiana ,Jeff Landry,Republican
Maine ,Janet Mills,Democratic
Maryland ,Wes Moore,Democratic
Massachusetts ,Maura Healey,Democratic
Michigan ,Gretchen Whitmer,Democratic
Minnesota ,Tim Walz,Democratic
Mississippi ,Tate Reeves,Republican
Missouri ,Mike Parson,Republican
Montana ,Greg Gianforte,Republican
Nebraska ,Jim Pillen,Republican
Nevada ,Joe Lombardo,Republican
New Hampshire ,Chris Sununu,Republican
New Jersey ,Phil Murphy,Democratic
New Mexico ,Michelle Lujan Grisham,Democratic
New York ,Kathy Hochul,Democratic
North Carolina ,Roy Cooper,Democratic
North Dakota ,Kelly Armstrong,Republican
Ohio ,Mike DeWine,Republican
Oklahoma ,Kevin Stitt,Republican
Oregon ,Tina Kotek,Democratic
Pennsylvania ,Josh Shapiro,Democratic
Rhode Island ,Dan McKee,Democratic
South Carolina ,Henry McMaster,Republican
South Dakota ,Kristi Noem,Republican
Tennessee ,Bill Lee,Republican
Texas ,Greg Abbott,Republican
Utah ,Spencer Cox,Republican
Vermont ,Phil Scott,Republican
Virginia ,Glenn Youngkin,Republican
Washington ,Jay Inslee,Democratic
West Virginia ,Jim Justice,Republican
Wisconsin ,Tony Evers,Democratic
Wyoming ,Mark Gordon,Republican